"record_type","query","model","generated_at","item_index","item_status","item_text"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","1","approved","Диплом о высшем медицинском образовании"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","2","approved","Опыт работы стоматологом"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","3","approved","Знание современных методов диагностики и лечения стоматологических заболеваний"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","4","approved","Владение навыками работы с современным стоматологическим оборудованием"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","5","rejected","Соблюдение санитарно-эпидемиологических норм"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","6","approved","Ответственность и внимательность"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","7","rejected","Коммуникабельность"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","8","approved","Умение работать в команде"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","9","approved","Готовность к обучению и повышению квалификации"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","10","approved","Действующая медицинская лицензия"
"vacancy","Стоматолог","gemma3:4b","2026-03-25T09:09:49.480Z","11","approved","Знание основ оказания первой помощи"
